"","A_1","A_2","CO_1","CO_2","CO_3","H2_1","H2_2","H2_3","S_1","S_2","S_3"
"BFJEKD_02780",587,371,562,875,462,665,999,833,1250,673,588
"BFJEKD_02785",2061,871,702,1290,413,375,580,933,1704,583,1145
"BFJEKD_02790",283,197,166,167,130,57,169,198,274,84,185
"BFJEKD_02795",1720,755,427,881,313,303,581,885,1054,338,674
"BFJEKD_02800",3594,1588,1098,2168,908,1282,1428,1957,3536,794,1523
"BFJEKD_02805",4433,2359,1389,3337,1420,1316,1768,2466,6943,1029,1717
"BFJEKD_02810",525,859,399,541,291,303,356,551,918,371,418
"BFJEKD_02815",1042,1465,1392,1441,1840,5380,2826,2770,2083,2066,1594
"BFJEKD_02820",1317,1258,1161,1648,1091,3068,3880,2014,2013,1375,1187
"BFJEKD_02825",3899,3813,4185,5823,4015,7000,12880,6641,10884,3833,4062
"BFJEKD_02830",43362,30486,98976,145394,68266,43754,97395,94807,335433,71895,64863
"BFJEKD_02835",816,435,1612,1623,1928,1079,1505,1958,2012,1831,1311
"BFJEKD_02840",154,96,266,411,250,233,344,191,212,423,238
"BFJEKD_02845",418,308,1119,709,812,661,726,588,594,758,596
"BFJEKD_02850",1010,648,931,786,648,935,1322,570,953,825,835
"BFJEKD_02855",9575,5030,1568,2188,1371,2992,5888,1214,5436,1521,1138
"BFJEKD_02860",201,207,378,312,296,247,307,310,478,353,306
"BFJEKD_02865",3059,2240,3150,2699,3135,1422,1527,2067,2542,3363,2752
"BFJEKD_02870",152,240,1010,471,1076,1001,820,639,894,1243,455
"BFJEKD_02875",341,499,697,618,523,565,985,989,525,691,587
"BFJEKD_02880",476,410,583,468,471,729,839,732,530,447,502
"BFJEKD_02885",161,309,603,524,754,1717,2283,921,437,787,704
"BFJEKD_02890",266,613,477,503,850,2500,1095,663,463,929,450
"BFJEKD_02895",853,903,3358,1766,3348,840,884,1521,886,3540,1631
"BFJEKD_02900",692,867,1916,1015,1929,457,601,1208,551,2254,1103
"BFJEKD_02905",682,625,1385,866,1149,521,743,1387,821,1214,1170
"BFJEKD_02910",543,5710,859,363,779,372,432,475,548,804,796
"BFJEKD_02915",285,277,275,347,197,154,305,332,584,187,204
"BFJEKD_02920",167,145,249,276,252,160,232,303,349,195,173
"BFJEKD_02925",1809,616,1820,2885,1822,1431,1489,1587,3709,1787,1892
"BFJEKD_02930",486,389,668,1136,654,533,551,496,1577,575,662
"BFJEKD_02935",136,195,239,384,196,289,286,156,495,236,231
"BFJEKD_02940",1726,1629,1847,2431,2264,1597,2267,1977,3011,2098,2200
"BFJEKD_02945",625,734,1727,1303,1818,1033,1166,1307,744,1662,1617
"BFJEKD_02955",2745,7387,3800,5648,5087,11744,7245,7142,4511,4537,5764
"BFJEKD_02960",307,603,798,864,933,1271,1096,930,1356,844,647
"BFJEKD_02965",264,655,640,619,837,826,834,704,1817,789,380
"BFJEKD_02970",2234,4265,2042,1979,2896,3547,1892,1265,1832,2192,1607
"BFJEKD_02975",2362,5523,3056,2170,4968,1957,1420,1976,1052,5079,2089
"BFJEKD_02980",3292,2422,10726,6311,6899,4245,8212,10257,2056,7066,8435
"BFJEKD_02985",6206,4480,3585,7436,2840,2448,2398,3698,5261,2947,8300
"BFJEKD_02990",477,573,568,799,361,296,762,707,257,386,1697
"BFJEKD_02995",1792,456,203,570,241,411,285,275,1141,409,751
"BFJEKD_03000",677,555,310,361,241,271,366,265,309,411,692
"BFJEKD_03005",316,438,430,318,480,397,317,271,176,570,873
"BFJEKD_03010",222,454,330,374,356,522,313,183,213,493,642
"BFJEKD_03015",433,587,456,796,645,444,662,353,563,869,894
"BFJEKD_03020",2777,1805,1923,1972,2232,1499,1528,1253,2992,1886,1838
"BFJEKD_03025",373,690,1559,1469,1198,909,1331,909,1911,1325,1804
"BFJEKD_03030",2662,1839,1580,3337,1048,1484,2159,1942,3040,1243,2836
"BFJEKD_03035",5784,8228,3373,4661,3299,4340,8177,6095,2916,3481,3882
"BFJEKD_03040",2005,3869,754,915,877,2811,2429,1741,477,914,1093
"BFJEKD_03045",49,108,100,46,42,633,461,125,70,61,49
"BFJEKD_03050",900,717,910,811,727,765,1280,1354,1124,761,732
"BFJEKD_03055",208,348,388,273,264,480,487,541,356,309,352
"BFJEKD_03060",1176,794,1475,1003,1765,1340,1143,1157,1032,2103,1125
"BFJEKD_03065",287,577,643,358,444,1723,1370,899,271,589,441
"BFJEKD_03070",128,259,443,291,250,1142,1165,775,255,347,299
"BFJEKD_03075",949,2378,246,338,220,4928,10721,18164,610,267,407
"BFJEKD_03080",112,399,66,75,54,101,94,145,125,50,38
"BFJEKD_03085",175,362,343,404,149,308,378,311,164,173,544
"BFJEKD_03090",118,353,221,251,124,280,274,303,144,178,417
"BFJEKD_03095",111,486,191,166,144,269,212,262,231,143,349
"BFJEKD_03100",395,604,387,599,402,366,349,634,644,427,706
"BFJEKD_03105",2016,1993,1691,1491,1621,712,1012,2271,804,1420,2041
"BFJEKD_03110",11715,18217,1636,1245,1208,341,476,792,2450,1473,1312
"BFJEKD_03115",944,1690,231,281,244,226,188,157,559,248,157
"BFJEKD_03120",352,1435,110,121,167,162,123,136,240,157,114
"BFJEKD_03125",752,1192,846,1060,670,468,1097,965,1438,825,568
"BFJEKD_03130",238,553,264,288,140,388,978,459,439,221,197
"BFJEKD_03135",175,253,148,222,112,239,397,236,380,142,123
"BFJEKD_03140",571,836,762,567,709,1238,1290,1004,945,531,511
"BFJEKD_03145",413,754,1169,714,1003,634,674,749,1072,1274,676
"BFJEKD_03150",173,286,240,161,227,200,288,287,286,277,201
"BFJEKD_03155",519,732,789,1271,793,601,974,1018,1968,1360,1001
"BFJEKD_03160",450,658,782,684,748,616,1025,719,1394,604,498
"BFJEKD_03165",669,471,824,1117,644,509,1082,952,2613,673,636
"BFJEKD_03170",130,236,119,140,82,152,215,143,284,119,115
"BFJEKD_03175",38,103,43,38,45,49,43,33,52,35,29
"BFJEKD_03180",243,429,216,262,175,352,397,208,602,234,210
"BFJEKD_03185",48,95,18,28,11,41,36,28,46,24,30
"BFJEKD_03190",596,304,218,450,246,233,437,253,790,401,307
"BFJEKD_03195",210,281,227,295,311,340,280,177,333,381,305
"BFJEKD_03200",104,307,222,207,360,801,678,358,747,304,180
"BFJEKD_03205",56,95,74,127,34,144,193,113,93,83,125
"BFJEKD_03220",58449,15871,52193,132016,54190,33015,64252,48587,498169,49813,42062
"BFJEKD_03230",160,262,148,147,162,382,367,211,158,167,132
"BFJEKD_03235",811,673,1164,1094,889,1079,1348,1138,1183,1363,1090
"BFJEKD_03240",756,1909,2373,1440,2148,1022,1415,2153,1218,2182,1692
"BFJEKD_03245",473,728,811,803,824,778,666,1046,653,1279,934
"BFJEKD_03250",239,466,495,363,567,968,834,814,159,723,523
"BFJEKD_03255",672,904,1395,832,961,1491,1915,1681,538,1073,997
"BFJEKD_03260",1166,1030,537,772,588,503,613,581,519,678,865
"BFJEKD_03265",517,736,281,641,233,549,706,522,636,331,579
"BFJEKD_03270",293,1288,390,322,676,1166,543,525,348,875,349
"BFJEKD_03275",177,747,208,159,288,1277,709,346,176,323,246
"BFJEKD_03280",523,1178,558,481,407,830,1625,816,301,634,810
"BFJEKD_03285",3243,2702,3236,3638,2587,2099,4091,3696,3074,3583,3135
"BFJEKD_03290",1398,1455,1065,970,1351,787,1151,1257,1028,1391,959
"BFJEKD_03295",1599,2320,5184,2769,5552,3257,3939,5746,2783,4543,3153
"BFJEKD_03300",312,202,223,537,150,155,370,269,335,106,398
"BFJEKD_03305",787,291,331,1047,252,178,279,374,1199,446,685
"BFJEKD_03315",1020,2395,6022,3011,6178,4028,4810,4217,2716,5293,2579
"BFJEKD_03320",64,45,39,48,40,27,30,18,63,46,43
"BFJEKD_03325",251,209,205,211,209,199,233,194,215,199,254
"BFJEKD_03330",24,41,30,47,35,37,68,26,53,35,43
